session_id,user_id,content_id,start_ts,watch_sec,device,autoplay,is_live_view,country
1,1,60,2025-02-23 01:19:14,1688,TV,0,0,FR
2,1,26,2025-02-19 19:54:06,765,Mobile,0,0,FR
3,1,61,2025-02-17 21:33:54,235,Web,0,0,FR
4,1,116,2025-03-23 05:31:20,1034,Mobile,1,0,FR
5,1,70,2025-04-10 19:06:11,937,TV,1,0,FR
6,1,74,2025-04-04 23:45:49,483,Web,0,0,FR
7,2,41,2025-06-23 22:23:52,1005,Mobile,1,0,FR
8,2,22,2025-06-22 16:02:42,903,Mobile,0,0,FR
9,3,103,2024-10-26 01:37:13,322,TV,1,0,CH
10,3,19,2024-11-28 07:05:22,60,Mobile,0,0,CH
11,3,102,2025-01-14 11:39:29,327,Mobile,1,0,CH
12,3,94,2025-02-14 10:08:44,1270,Mobile,1,0,CH
13,3,40,2025-04-12 15:01:53,897,Mobile,0,0,CH
14,3,100,2025-06-14 20:55:31,1155,Tablet,0,0,CH
15,3,111,2025-07-08 09:32:12,798,Mobile,1,0,CH
16,3,49,2025-08-30 18:21:31,1713,TV,0,0,CH
17,4,87,2025-05-05 20:46:38,454,Tablet,1,0,BE
18,4,82,2025-06-19 05:54:26,369,Mobile,0,0,BE
19,4,1,2025-07-09 06:17:50,1474,Web,1,0,BE
20,4,16,2025-08-23 03:48:52,1914,Mobile,0,0,BE
21,4,19,2025-08-19 02:49:54,295,Tablet,1,0,BE
22,5,80,2024-12-28 22:08:28,2129,Web,1,0,FR
23,5,53,2025-01-08 11:05:45,803,Web,1,0,FR
24,5,40,2025-01-21 16:20:34,743,Mobile,1,0,FR
25,5,55,2025-01-26 11:19:38,1512,Web,1,0,FR
26,5,78,2025-01-20 07:43:25,683,Tablet,0,0,FR
27,5,15,2025-03-03 16:19:04,1737,Tablet,0,0,FR
28,5,8,2025-03-06 01:16:59,1131,TV,0,0,FR
29,5,29,2025-04-10 07:38:17,1060,Mobile,0,0,FR
30,5,30,2025-04-30 06:22:49,867,TV,0,0,FR
31,5,46,2025-04-22 16:13:08,387,Web,0,0,FR
32,5,93,2025-05-22 09:29:54,1298,Mobile,0,0,FR
33,5,90,2025-06-20 07:31:27,724,Tablet,0,0,FR
34,5,67,2025-07-27 05:32:51,440,Web,0,0,FR
35,5,106,2025-08-30 08:26:38,129,TV,0,0,FR
36,5,56,2025-08-16 17:11:55,1524,TV,1,0,FR
37,5,16,2025-08-18 12:48:01,1973,Web,0,0,FR
38,6,90,2025-03-31 19:12:19,693,Mobile,0,0,CH
39,6,54,2025-03-30 21:36:30,318,TV,1,0,CH
40,6,25,2025-04-03 18:56:03,94,Web,0,0,CH
41,6,18,2025-04-15 02:15:32,1685,Mobile,1,0,CH
42,6,102,2025-05-25 07:20:45,900,Mobile,0,0,CH
43,6,78,2025-06-29 02:30:40,1225,Web,0,0,CH
44,6,69,2025-06-18 01:33:50,1369,Web,0,0,CH
45,6,119,2025-07-05 01:31:45,481,TV,1,0,CH
46,6,115,2025-07-21 21:40:30,2104,Mobile,0,0,CH
47,6,23,2025-07-28 15:26:15,1567,TV,1,0,CH
48,6,9,2025-08-21 19:09:39,1438,Web,0,0,CH
49,6,21,2025-08-15 12:51:03,1009,Web,0,0,CH
50,6,94,2025-08-06 09:06:41,448,TV,1,0,CH
51,6,69,2025-08-19 15:37:14,657,Mobile,0,0,CH
52,6,69,2025-08-02 13:23:00,1096,Web,0,0,CH
53,6,89,2025-08-27 00:17:58,1220,TV,1,0,CH
54,7,46,2024-09-21 21:39:39,1953,Tablet,0,0,BE
55,7,102,2024-09-24 01:25:39,1005,TV,0,0,BE
56,7,55,2024-09-15 03:33:34,1793,Mobile,1,0,BE
57,7,21,2024-10-04 15:03:06,238,TV,1,0,BE
58,7,111,2024-11-09 05:53:20,1203,Web,0,0,BE
59,7,20,2024-11-05 13:39:09,723,Web,0,0,BE
60,7,19,2024-11-12 00:37:30,83,Web,1,0,BE
61,7,25,2024-11-30 20:35:37,721,TV,0,0,BE
62,7,59,2024-12-16 23:28:59,987,Mobile,0,0,BE
63,7,103,2024-12-04 02:02:21,1502,Mobile,0,1,BE
64,7,23,2024-12-17 03:49:01,1101,TV,0,0,BE
65,7,85,2025-01-12 15:51:53,1022,Mobile,0,0,BE
66,7,68,2025-04-19 00:23:52,1867,Mobile,0,0,BE
67,7,99,2025-04-18 06:06:01,389,Mobile,0,0,BE
68,7,115,2025-05-09 04:42:28,1895,Web,0,0,BE
69,7,93,2025-05-31 10:59:40,1920,Mobile,0,0,BE
70,7,111,2025-06-18 00:37:50,775,Mobile,0,0,BE
71,7,101,2025-07-26 16:48:06,1293,Web,0,0,BE
72,7,96,2025-07-04 21:56:58,476,Mobile,0,1,BE
73,7,31,2025-08-05 01:59:48,1460,Mobile,0,0,BE
74,7,95,2025-08-01 03:21:34,571,Mobile,1,0,BE
75,7,8,2025-08-31 00:21:17,683,Web,0,0,BE
76,7,39,2025-08-07 17:22:21,1152,Web,0,0,BE
77,8,86,2025-02-28 12:29:07,1491,Web,1,0,FR
78,8,83,2025-03-26 17:44:29,1430,Mobile,0,0,FR
79,8,16,2025-04-04 06:34:41,60,TV,1,0,FR
80,8,8,2025-05-04 21:50:07,705,TV,0,1,FR
81,8,17,2025-05-22 14:09:29,66,Web,0,0,FR
